"detail_id","name","prefecture","start_date","status_text","detail_url"
"5615","横須賀佐野町郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5615"
"5616","横須賀逸見郵便局","神奈川県","2000-10-16","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5616"
"5617","横須賀不入斗郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5617"
"5618","平塚西郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5618"
"5619","大山郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5619"
"5620","平塚富士見郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5620"
"5621","中井井ノ口郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5621"
"5622","平塚本宿郵便局","神奈川県","2001-01-01","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5622"
"5623","中井郵便局","神奈川県","1999-11-01","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5623"
"5624","真鶴港郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5624"
"5625","大磯郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5625"
"5626","湯河原温泉郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5626"
"5627","箱根強羅郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5627"
"5628","仙石原郵便局","神奈川県","1996-09-06","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5628"
"5629","湯河原駅前郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5629"
"5630","箱根宮城野郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5630"
"5631","真鶴郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5631"
"5632","箱根湯本郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5632"
"5633","箱根宮ノ下郵便局","神奈川県","1981-08-21","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5633"
"5634","箱根町郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5634"
"5635","大井金子郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5635"
"5636","曾我郵便局","神奈川県","1997-10-21","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5636"
"5637","開成郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5637"
"5638","三保郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5638"
"5639","山北郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5639"
"5640","栢山駅前郵便局","神奈川県","1984-12-25","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5640"
"5641","根府川郵便局","神奈川県","1999-12-01","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5641"
"5642","螢田駅前郵便局","神奈川県","2000-11-01","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5642"
"5643","下中郵便局","神奈川県","2004-11-30","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5643"
"5644","小田原鴨宮郵便局","神奈川県","2000-10-01","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5644"
"5645","小田原富水郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5645"
"5646","下曾我郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5646"
"5647","西秦野郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5647"
"5648","茅ヶ崎海岸郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5648"
"5649","藤沢今田郵便局","神奈川県","1999-10-30","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5649"
"5650","大和つきみ野郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5650"
"5651","茅ヶ崎茶屋町郵便局","神奈川県","1999-11-11","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5651"
"5652","綾瀬中郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5652"
"5653","藤沢西海岸郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5653"
"5654","藤沢南口郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5654"
"5655","鵠沼駅前郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5655"
"5656","藤沢東海岸郵便局","神奈川県","1961-03-11","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5656"
"5657","鵠沼桜が岡郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5657"
"5658","藤沢片瀬山郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5658"
"5659","藤沢橘通郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5659"
"5660","鵠沼海岸郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5660"
"5661","辻堂郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5661"
"5662","江ノ島郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5662"
"5663","川崎千代ヶ丘郵便局","神奈川県","1998-10-15","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5663"
"5664","藤沢本町郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5664"
"5665","藤沢善行郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5665"
"5666","藤沢大庭郵便局","神奈川県","2003-04-01","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5666"
"5667","片瀬郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5667"
"5668","川崎生田南郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5668"
"5669","川崎東柿生郵便局","神奈川県","1998-10-15","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5669"
"5670","川崎白山郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5670"
"5671","百合ヶ丘駅前郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5671"
"5672","柿生郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5672"
"5673","稲田堤郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5673"
"5674","川崎宿河原郵便局","神奈川県","2003-08-01","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5674"
"5675","川崎有馬郵便局","神奈川県","1998-10-15","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5675"
"5676","川崎宮前平郵便局","神奈川県","1998-10-15","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5676"
"5677","川崎菅生郵便局","神奈川県","1998-10-15","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5677"
"5678","川崎鷺沼郵便局","神奈川県","1998-10-15","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5678"
"5679","川崎野川郵便局","神奈川県","1998-10-15","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5679"
"5680","川崎馬絹郵便局","神奈川県","1998-10-15","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5680"
"5681","川崎向ヶ丘郵便局","神奈川県","1998-10-15","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5681"
"5682","川崎土橋郵便局","神奈川県","1998-10-15","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5682"
"5683","川崎北部市場内郵便局","神奈川県","1998-10-15","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5683"
"5684","溝ノ口ノクティビル内郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5684"
"5685","川崎中有馬郵便局","神奈川県","1998-10-15","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5685"
"5686","溝ノ口中央通郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5686"
"5687","川崎久末郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5687"
"5688","川崎梶ヶ谷郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5688"
"5689","川崎溝ノ口郵便局","神奈川県","1986-06-02","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5689"
"5690","川崎北見方郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5690"
"5691","川崎上作延郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5691"
"5692","川崎諏訪郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5692"
"5693","川崎下作延郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5693"
"5694","川崎子母口郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5694"
"5695","かながわサイエンスパーク内郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5695"
"5696","川崎上新城郵便局","神奈川県","1998-10-15","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5696"
"5697","川崎田尻郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5697"
"5698","武蔵小杉タワープレイス内郵便局","神奈川県","1998-10-15","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5698"
"5699","川崎宮内郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5699"
"5700","川崎上丸子郵便局","神奈川県","1998-10-15","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5700"
"5701","川崎苅宿郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5701"
"5702","川崎新城郵便局","神奈川県","1998-10-15","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5702"
"5703","川崎井田郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5703"
"5704","川崎下沼部郵便局","神奈川県","1998-10-10","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5704"
"5705","川崎浅田郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5705"
"5706","川崎大島郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5706"
"5707","川崎渡田向町郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5707"
"5708","川崎上平間郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5708"
"5709","川崎小杉郵便局","神奈川県","1998-10-15","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5709"
"5710","川崎木月郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5710"
"5711","川崎新丸子郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5711"
"5712","川崎東大島郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5712"
"5713","川崎旭町郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5713"
"5714","川崎昭和郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5714"
"5715","川崎大師海岸郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5715"
"5716","川崎小田郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5716"
"5717","川崎藤崎郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5717"
"5718","川崎京町郵便局","神奈川県","1998-10-10","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5718"
"5719","川崎四谷上町郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5719"
"5720","川崎渡田郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5720"
"5721","川崎大師郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5721"
"5722","川崎ソリッドスクエア内郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5722"
"5723","川崎日進町ビル内郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5723"
"5724","川崎小向西町郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5724"
"5725","川崎塚越郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5725"
"5726","川崎北加瀬郵便局","神奈川県","1998-10-15","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5726"
"5727","川崎鹿島田郵便局","神奈川県","1998-10-15","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5727"
"5728","川崎南加瀬郵便局","神奈川県","1998-10-15","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5728"
"5729","川崎南町郵便局","神奈川県","2016-09-20","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5729"
"5730","川崎本町郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5730"
"5731","川崎南河原郵便局","神奈川県","1998-10-15","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5731"
"5732","川崎古市場郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5732"
"5733","川崎河原町郵便局","神奈川県","1998-10-15","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5733"
"5734","川崎市役所通郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5734"
"5735","パークシティ新川崎内郵便局","神奈川県","1998-10-15","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5735"
"5736","川崎小倉郵便局","神奈川県","1998-10-15","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5736"
"5737","川崎駅西口郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5737"
"5738","川崎砂子郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5738"
"5739","六浦駅前郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5739"
"5740","横浜大道郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5740"
"5741","横浜釜利谷郵便局","神奈川県","1987-06-22","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5741"
"5742","横浜六浦川郵便局","神奈川県","2003-12-31","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5742"
"5743","横浜六浦郵便局","神奈川県","1999-11-11","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5743"
"5744","横浜釜利谷西郵便局","神奈川県","1987-02-16","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5744"
"5745","横浜金沢文庫郵便局","神奈川県","1984-10-15","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5745"
"5746","横浜並木郵便局","神奈川県","1999-11-11","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke/detail.php?id=5746"
