"detail_id","name","prefecture","address","geocode_address","latitude","longitude","start_date","status_text","detail_url"
"7448","北小野郵便局","長野県","〒399-0651 長野県塩尻市北小野２９７－１","長野県塩尻市北小野２９７－１","36.064384","137.982834","","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=7448"
"7449","辰野宮木郵便局","長野県","〒399-0426 長野県上伊那郡辰野町伊那富４０３０","長野県上伊那郡辰野町伊那富４０３０","35.96751","137.946304","","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=7449"
"7450","羽場郵便局","長野県","〒399-0428 長野県上伊那郡辰野町伊那富８５３１－１","長野県上伊那郡辰野町伊那富８５３１－１","35.96751","137.946304","","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=7450"
"7451","三義郵便局","長野県","〒396-0304 長野県伊那市高遠町山室２０４２－２","長野県伊那市高遠町山室２０４２－２","35.843296","138.114578","","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=7451"
"7452","藤沢郵便局","長野県","〒396-0301 長野県伊那市高遠町藤澤３９８９－１","長野県伊那市高遠町藤澤３９８９－１","35.932476","138.112","","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=7452"
"7453","市野瀬郵便局","長野県","〒396-0405 長野県伊那市長谷市野瀬１２９３－１","長野県伊那市長谷市野瀬１２９３－１","35.728069","138.070099","","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=7453"
"7454","手良郵便局","長野県","〒396-0002 長野県伊那市手良沢岡８６５－２","長野県伊那市手良沢岡８６５－２","35.874344","138.007706","","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=7454"
"7455","伊那大芦郵便局","長野県","〒396-0025 長野県伊那市荒井３４９４","長野県伊那市荒井３４９４","35.840446","137.957977","","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=7455"
"7456","伊那東郵便局","長野県","〒396-0015 長野県伊那市中央４５８６－１","長野県伊那市中央４５８６－１","35.838902","137.965729","","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=7456"
"7457","伊那日影郵便局","長野県","〒396-0011 長野県伊那市日影２８７－２","長野県伊那市日影２８７－２","35.838291","137.979385","","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=7457"
