"detail_id","name","prefecture","address","geocode_address","latitude","longitude","start_date","status_text","detail_url"
"569","阿倍野相生郵便局","大阪府","〒545-0033 大阪府大阪市阿倍野区相生通2-15-13","大阪府大阪市阿倍野区相生通2-15-13","34.629814","135.502655","2014-05-30","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=569"
"570","阿倍野保名郵便局","大阪府","〒545-0034 大阪府大阪市阿倍野区阿倍野元町4-22","大阪府大阪市阿倍野区阿倍野元町4-22","34.632748","135.509293","2014-05-30","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=570"
"571","阿倍野旭町郵便局","大阪府","〒545-0051 大阪府大阪市阿倍野区旭町2-1-1-161","大阪府大阪市阿倍野区旭町2-1-1-161","34.645241","135.509995","2014-05-30","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=571"
"572","大阪阿倍野筋郵便局","大阪府","〒545-0052 大阪府大阪市阿倍野区阿倍野筋5-3-23","大阪府大阪市阿倍野区阿倍野筋5-3-23","34.638557","135.510941","2014-05-30","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=572"
"573","あべのベルタ内郵便局","大阪府","〒545-0052 大阪府大阪市阿倍野区阿倍野筋3-10-1-100","大阪府大阪市阿倍野区阿倍野筋3-10-1-100","34.643017","135.511826","2014-05-30","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=573"
"574","阿倍野高松郵便局","大阪府","〒545-0001 大阪府大阪市阿倍野区天王寺北1-10-9","大阪府大阪市阿倍野区天王寺北1-10-9","34.643406","135.521011","2014-05-30","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=574"
"575","阿倍野松崎郵便局","大阪府","〒545-0053 大阪府大阪市阿倍野区松崎町2-2-12","大阪府大阪市阿倍野区松崎町2-2-12","34.643627","135.516556","2014-05-30","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=575"
"576","阿倍野美章園郵便局","大阪府","〒545-0003 大阪府大阪市阿倍野区美章園3-2-11","大阪府大阪市阿倍野区美章園3-2-11","34.637718","135.522491","2014-05-30","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=576"
"578","阿倍野阪南東郵便局","大阪府","〒545-0021 大阪府大阪市阿倍野区阪南町3-2-10","大阪府大阪市阿倍野区阪南町3-2-10","34.630054","135.51503","2014-05-30","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=578"
"579","津屋崎郵便局","福岡県","〒811-3399 福岡県福津市津屋崎3丁目1－3","福岡県福津市津屋崎3丁目1－3","33.787598","130.468353","2014-06-05","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=579"
"586","北海道庁赤れんが前郵便局","北海道","〒060-0002 北海道札幌市中央区北二条西4丁目3","北海道札幌市中央区北二条西4丁目3","43.063679","141.350494","2014-06-16","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=586"
"589","北見郵便局","北海道","〒090-8799 北海道北見市北六条東1－1－1","北海道北見市北六条東1－1－1","43.8078","143.892853","2014-07-01","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=589"
"591","水戸市役所前郵便局","茨城県","〒310-0805 茨城県水戸市中央2－6－7","茨城県水戸市中央2－6－7","36.366905","140.470596","2014-07-01","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=591"
"592","落合郵便局","徳島県","〒778-0202 徳島県三好市東祖谷落合415-9","徳島県三好市東祖谷落合415-9","33.926083","133.951096","2014-07-01","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=592"
"593","保々郵便局","三重県","〒512-1304 三重県四日市市中野町1186番地の1","三重県四日市市中野町1186番地の1","35.047859","136.559189","2014-07-01","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=593"
"595","川西久代郵便局","兵庫県","〒666-0024 兵庫県川西市久代1-21-21","兵庫県川西市久代1-21-21","34.806496","135.411728","2014-07-10","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=595"
"596","川西花屋敷郵便局","兵庫県","〒666-0034 兵庫県川西市寺畑2-9-11","兵庫県川西市寺畑2-9-11","34.827133","135.404251","2014-07-10","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=596"
"597","川西美園郵便局","兵庫県","〒666-0013 兵庫県川西市美園町12-10","兵庫県川西市美園町12-10","34.834728","135.421463","2014-07-10","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=597"
"598","川西加茂郵便局","兵庫県","〒666-0022 兵庫県川西市下加茂1-24-2","兵庫県川西市下加茂1-24-2","34.820023","135.411819","2014-07-10","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=598"
"599","川西萩原台郵便局","兵庫県","〒666-0005 兵庫県川西市萩原台東1-275","兵庫県川西市萩原台東1-275","34.844738","135.412354","2014-07-10","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=599"
"600","川西加茂二郵便局","兵庫県","〒666-0025 兵庫県川西市加茂2-6-21","兵庫県川西市加茂2-6-21","34.818535","135.403992","2014-07-10","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=600"
"601","川西小戸二郵便局","兵庫県","〒666-0014 兵庫県川西市小戸2-14-7","兵庫県川西市小戸2-14-7","34.828579","135.420486","2014-07-10","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=601"
"602","川西清和台郵便局","兵庫県","〒666-0143 兵庫県川西市清和台西2-2-2","兵庫県川西市清和台西2-2-2","34.874134","135.384216","2014-07-10","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=602"
"603","川西けやき坂郵便局","兵庫県","〒666-0145 兵庫県川西市けやき坂2-62-14","兵庫県川西市けやき坂2-62-14","34.860168","135.381348","2014-07-10","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=603"
"604","長柄郵便局","群馬県","〒370-0615 群馬県邑楽郡邑楽町篠塚1287－1","群馬県邑楽郡邑楽町篠塚1287－1","36.239182","139.456726","2014-07-07","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=604"
"605","秋田明田郵便局","秋田県","〒010-0041 秋田県秋田県秋田市広面野添130－4","秋田県秋田県秋田市広面野添130－4","39.719959","140.103516","2014-07-25","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=605"
"606","西大寺中郵便局","岡山県","〒704-8116 岡山県岡山市東区西大寺中3－15－1","岡山県岡山市東区西大寺中3－15－1","34.655529","134.036484","2014-08-01","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=606"
"608","名古屋福徳郵便局","愛知県","〒462-0053 愛知県名古屋市北区光音寺町野方1918番地の75","愛知県名古屋市北区光音寺町野方1918番地の75","35.211487","136.905853","2014-08-22","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=608"
"611","大阪国際郵便局","大阪府","〒549-8799 大阪府泉南市泉州空港南1番地","大阪府泉南市泉州空港南1番地","34.427418","135.228455","2014-10-01","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=611"
"613","大宮JPビル郵便局","埼玉県","〒330-0854 埼玉県さいたま市大宮区桜木町1－11－20","埼玉県さいたま市大宮区桜木町1－11－20","35.903679","139.619308","2014-09-16","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=613"
"616","旭山動物園前郵便局","北海道","〒078-8203 北海道旭川市東旭川町日ノ出273","北海道旭川市東旭川町日ノ出273","43.764481","142.469299","2014-10-01","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=616"
"617","野田沢郵便局","長野県","〒389-2703 長野県下水内郡栄村大字堺5416‐6","長野県下水内郡栄村大字堺5416‐6","36.858234","138.610001","2014-10-01","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=617"
"618","平滝郵便局","長野県","〒389-2701 長野県下水内郡栄村大字豊栄2229‐4","長野県下水内郡栄村大字豊栄2229‐4","37.004204","138.527618","2014-10-01","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=618"
"619","堺郵便局","長野県","〒389-2703 長野県下水内郡栄村大字堺16898‐1","長野県下水内郡栄村大字堺16898‐1","36.858234","138.610001","2014-10-01","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=619"
"620","大割野郵便局","新潟県","〒949-8299 新潟県中魚沼郡津南町下船渡戊460‐1","新潟県中魚沼郡津南町下船渡戊460‐1","37.026825","138.672546","2014-10-01","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=620"
"621","下船渡郵便局","新潟県","〒949-8201 新潟県中魚沼郡津南町下船渡甲3959‐2","新潟県中魚沼郡津南町下船渡甲3959‐2","37.026825","138.672546","2014-10-01","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=621"
"622","宮野原郵便局","新潟県","〒949-8125 新潟県中魚沼郡津南町上郷宮野原10‐2","新潟県中魚沼郡津南町上郷宮野原10‐2","36.959049","138.594101","2014-10-01","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=622"
"623","秋成郵便局","新潟県","〒949-8311 新潟県中魚沼郡津南町中深見甲5650‐3","新潟県中魚沼郡津南町中深見甲5650‐3","36.978489","138.698502","2014-10-01","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=623"
"624","芦ヶ崎郵便局","新潟県","〒949-8204 新潟県中魚沼郡津南町谷内2090‐13","新潟県中魚沼郡津南町谷内2090‐13","36.970757","138.627487","2014-10-01","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=624"
"625","外丸郵便局","新潟県","〒949-8206 新潟県中魚沼郡津南町外丸丙1084‐2","新潟県中魚沼郡津南町外丸丙1084‐2","37.030327","138.638916","2014-10-01","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=625"
"635","羽生郵便局","福井県","〒910-2334 福井県福井市大宮町27-18","福井県福井市大宮町27-18","36.002537","136.414719","2014-12-01","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=635"
"636","小松島横須郵便局","徳島県","〒773-0006 徳島県小松島市横須町15-41","徳島県小松島市横須町15-41","33.997971","134.599167","2014-12-01","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=636"
"637","榛名簡易郵便局","群馬県","〒370-3341 群馬県高崎市榛名山町122","群馬県高崎市榛名山町122","36.449768","138.840225","2014-12-15","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=637"
"640","本所一郵便局","東京都","〒130-0004 東京都墨田区本所1-25-7","東京都墨田区本所1-25-7","35.704018","139.799835","2015-01-19","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=640"
