"detail_id","name","prefecture","address","geocode_address","latitude","longitude","start_date","status_text","detail_url","image_url"
"1849","園原郵便局","長野県","〒395-0305 長野県下伊那郡阿智村駒2352-355","長野県下伊那郡阿智村駒2352-355","35.486961","137.65451","2024-02-14","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1849","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./6_20231120185318_thum.png"
"1850","ジアウトレット湘南平塚内郵便局","神奈川県","〒254-0012 神奈川県平塚市大神8-1-1","神奈川県平塚市大神8-1-1","35.392338","139.366104","2024-02-01","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1850","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./4_20231213132907_thum.png"
"1851","若菜郵便局","北海道","〒068-0425 北海道夕張市若菜9-3","北海道夕張市若菜9-3","43.026405","141.971237","2025-04-01","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1851","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./1_20231219200746_thum.jpg"
"1854","大屋駅郵便局","長野県","〒386-0152 長野県長野県上田市大屋414-2","長野県長野県上田市大屋414-2","36.648537","138.194824","2024-02-26","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1854","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./6_20240115101554_thum.jpg"
"1858","グリーンファーム館山内郵便局","千葉県","〒294-0012 千葉県館山市稲270-1","千葉県館山市稲270-1","34.991074","139.907959","2024-01-29","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1858","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./3_20240105124903_thum.png"
"1859","美田郵便局","島根県","〒684-0303 島根県隠岐郡西ノ島町美田283-31","島根県隠岐郡西ノ島町美田283-31","36.098858","133.029358","2024-02-05","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1859","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./10_20240116152509_thum.jpg"
"1860","金子郵便局","埼玉県","〒358-0045 埼玉県入間市寺竹805","埼玉県入間市寺竹805","35.816162","139.333282","2024-02-22","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1860","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./3_20240124102501_thum.png"
"1861","西武郵便局","埼玉県","〒358-0054 埼玉県入間市野田621-3","埼玉県入間市野田621-3","35.844296","139.353409","2024-02-22","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1861","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./3_20240124103236_thum.png"
"1862","宮寺郵便局","埼玉県","〒358-0014 埼玉県入間市宮寺525","埼玉県入間市宮寺525","35.79224","139.3815","2024-02-22","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1862","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./3_20240124103537_thum.png"
"1863","入間下藤沢郵便局","埼玉県","〒358-0011 埼玉県入間市下藤沢1-4-3","埼玉県入間市下藤沢1-4-3","35.82164","139.410782","2024-02-22","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1863","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./3_20240124103839_thum.png"
"1864","入間黒須郵便局","埼玉県","〒358-0007 埼玉県入間市黒須2-2-1","埼玉県入間市黒須2-2-1","35.845993","139.383591","2024-02-22","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1864","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./3_20240124104327_thum.png"
"1865","入間新久郵便局","埼玉県","〒358-0031 埼玉県入間市新久641-18","埼玉県入間市新久641-18","35.82402","139.363953","2024-02-22","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1865","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./3_20240124105013_thum.png"
"1866","入間上藤沢郵便局","埼玉県","〒358-0013 埼玉県入間市上藤沢391-8","埼玉県入間市上藤沢391-8","35.823128","139.40004","2024-02-22","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1866","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./3_20240124105404_thum.png"
"1867","入間仏子郵便局","埼玉県","〒358-0053 埼玉県入間市仏子912-7","埼玉県入間市仏子912-7","35.838619","139.35788","2024-02-22","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1867","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./3_20240124105723_thum.png"
"1868","西武入間ぺぺ内郵便局","埼玉県","〒358-0008 埼玉県入間市河原町2-1","埼玉県入間市河原町2-1","35.84132","139.38945","2024-02-22","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1868","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./3_20240124110102_thum.png"
"1869","入間扇町屋郵便局","埼玉県","〒358-0022 埼玉県入間市扇町屋4-2-23","埼玉県入間市扇町屋4-2-23","35.827724","139.382141","2024-02-22","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1869","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./3_20240124110334_thum.png"
"1870","入間郵便局","埼玉県","〒358-0023 埼玉県入間市扇台2-1-20","埼玉県入間市扇台2-1-20","35.831787","139.388977","2024-02-22","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1870","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./3_20240124110653_thum.png"
"1873","小禄宇栄原","沖縄県","〒901-0153 沖縄県那覇市宇栄原4-2-7","沖縄県那覇市宇栄原4-2-7","26.187656","127.668907","2024-02-19","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1873","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./13_20240201172126_thum.png"
"1876","平良久貝郵便局","沖縄県","〒906-0015 沖縄県宮古島市平良久貝870-1","沖縄県宮古島市平良久貝870-1","24.795536","125.274452","2024-03-11","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1876","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./13_20240301143848_thum.png"
"1877","平良西里郵便局","沖縄県","〒906-0012 沖縄県宮古島市平良西里142","沖縄県宮古島市平良西里142","24.804998","125.279099","2024-03-11","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1877","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./13_20240301143821_thum.png"
"1878","佐良浜郵便局","沖縄県","〒906-0501 沖縄県宮古島市伊良部字前里添646-1","沖縄県宮古島市伊良部字前里添646-1","24.835268","125.186043","2024-03-11","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1878","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./13_20240301143743_thum.png"
"1881","呉天応郵便局","広島県","〒737-0874 広島県広島県呉市天応南町5-26","広島県広島県呉市天応南町5-26","34.385277","132.455276","2024-03-08","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1881","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./10_20240227131228_thum.png"
"1882","伊東玖須美郵便局","静岡県","〒414-0026 静岡県伊東市竹の台5-28","静岡県伊東市竹の台5-28","34.966656","139.09877","2024-03-11","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1882","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./8_20240227153206_thum.png"
"1884","高岡守山郵便局","富山県","〒933-0986 富山県高岡市西海老坂２９２","富山県高岡市西海老坂２９２","36.780476","136.995209","2024-03-25","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1884","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./7_20240228151755_thum.jpg"
"1888","名古屋中日ビル内郵便局","愛知県","〒460-0008 愛知県名古屋市中区栄4-1-1","愛知県名古屋市中区栄4-1-1","35.168846","136.909363","2024-03-25","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1888","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./8_20240305133714_thum.png"
"1890","竹田簡易郵便局","福井県","〒910-0203 福井県坂井市丸岡町山口第５６号２４－１","福井県坂井市丸岡町山口第５６号２４－１","36.148796","136.388306","2024-04-01","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1890","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./7_20240313170215_thum.jpg"
"1891","芦見簡易郵便局","福井県","〒910-2203 福井県福井市西中町３－９－１","福井県福井市西中町３－９－１","36.032185","136.409561","2024-04-01","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1891","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./7_20240313170449_thum.jpg"
"1892","鳴鹿簡易郵便局","福井県","〒910-0337 福井県坂井市丸岡町新鳴鹿３－１００","福井県坂井市丸岡町新鳴鹿３－１００","36.107925","136.297989","2024-04-01","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1892","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./7_20240313170948_thum.jpg"
"1893","新横江簡易郵便局","福井県","〒916-0043 福井県鯖江市定次町２-２４","福井県鯖江市定次町２-２４","35.938019","136.196396","2024-04-01","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1893","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./7_20240313171457_thum.jpg"
"1894","六呂師高原簡易郵便局","福井県","〒912-0131 福井県大野市南六呂師第３９号１－２","福井県大野市南六呂師第３９号１－２","36.022434","136.598022","2024-04-01","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1894","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./7_20240313172047_thum.jpg"
"1897","名古屋池下郵便局","愛知県","〒464-0067 愛知県名古屋市千種区池下1-10-2","愛知県名古屋市千種区池下1-10-2","35.168255","136.943909","2024-04-01","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1897","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./8_20240318161324_thum.png"
"1898","石川郵便局","福島県","〒963-7899 福島県石川郡石川町字南町１４","福島県石川郡石川町字南町１４","37.145477","140.454056","2024-04-27","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1898","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./2_20240322094513_thum.jpg"
"1899","晴海西郵便局","東京都","〒104-0053 東京都中央区晴海5‐5‐5","東京都中央区晴海5‐5‐5","35.649662","139.777939","2024-04-15","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1899","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./5_20240325140650_thum.jpg"
"1902","富士駅前郵便局","静岡県","〒416-0923 静岡県富士市横割本町1-1 ソシエルふじ 1階","静岡県富士市横割本町1-1 ソシエルふじ 1階","35.150612","138.650818","2024-04-22","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1902","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./8_20240328133649_thum.png"
"1906","さっぽろ東急百貨店内郵便局","北海道","〒060-8619 北海道北海道札幌市中央区北四条西２丁目１","北海道北海道札幌市中央区北四条西２丁目１","43.802906","143.894684","2024-04-26","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1906","https://www.post.japanpost.jp/kitte_hagaki/stamp/preview/img/fuke/./1_20240405161703_thum.png"
