"detail_id","name","prefecture","address","geocode_address","latitude","longitude","start_date","status_text","detail_url","mailing_address"
"1807","小禄金城郵便局","沖縄県","〒901-0155 沖縄県沖縄県那覇市金城5-2-8","沖縄県沖縄県那覇市金城5-2-8","26.334202","127.805649","","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1807","〒901-0155 那覇市金城５－２－８ 小禄金城郵便局「記念押印担当」宛て"
"1810","小禄鏡原郵便局","沖縄県","〒901-0151 沖縄県那覇市鏡原34-25","沖縄県那覇市鏡原34-25","26.198095","127.678543","","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1810","〒901-0151 沖縄県那覇市鏡原町３４－２５ 小禄鏡原郵便局「記念押印担当」宛て"
"1808","古波蔵郵便局","沖縄県","〒900-0024 沖縄県那覇市古波蔵2-14-41","沖縄県那覇市古波蔵2-14-41","26.199799","127.686394","","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1808","〒900-0024 那覇市古波蔵2－14－41 古波蔵郵便局「記念押印担当」宛て"
"1812","首里大名郵便局","沖縄県","〒903-0802 沖縄県那覇市首里大名町3-55-5","沖縄県那覇市首里大名町3-55-5","26.231544","127.721031","","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1812","〒903-0802 沖縄県那覇市首里大名町3-55-5 首里大名郵便局 「記念押印担当」宛て"
"1811","小禄泉原郵便局","沖縄県","〒901-0152 沖縄県那覇市小禄1240","沖縄県那覇市小禄1240","26.19145","127.677612","","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1811","〒901-0152 沖縄県那覇市小禄1240 小禄泉原郵便局 「記念押印担当」宛て"
"1821","西馬城郵便局","大分県","〒872-0112 大分県大分県宇佐市大字上矢部1353-2","大分県大分県宇佐市大字上矢部1353-2","33.239445","131.609726","","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1821","〒872-0112 大分県宇佐市大字上矢部1353-2 西馬城郵便局（風景印担当）宛"
"1830","玄海郵便局","佐賀県","〒847-1421 佐賀県東松浦郡玄海町諸浦323-6","佐賀県東松浦郡玄海町諸浦323-6","33.469826","129.872101","","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1830","〒847-1421 佐賀県東松浦郡玄海町諸浦323-6 玄海郵便局（風景印担当）宛"
"1813","那覇久米郵便局","沖縄県","〒900-0032 沖縄県那覇市松山1-32-7","沖縄県那覇市松山1-32-7","26.21953","127.675537","","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1813","〒900-0032 沖縄県那覇市松山1-32-7 那覇久米郵便局 「記念押印担当」宛て"
"1836","美留和郵便局","北海道","〒088-3399 北海道川上郡弟子屈町美留和76","北海道川上郡弟子屈町美留和76","43.556114","144.41893","","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1836","〒088-3399 北海道川上郡弟子屈町美留和76 美留和郵便局（風景印担当）宛"
"1845","久賀島郵便局","長崎県","〒853-2171 長崎県五島市久賀町247-16","長崎県五島市久賀町247-16","32.786476","128.87326","","","https://www.post.japanpost.jp/kitte_hagaki/stamp/fuke//detail.php?id=1845","〒853-2171 長崎県五島市久賀町247-16 久賀島郵便局（風景印担当）宛"
